System,CrossDock_Family,Ca_Atoms_Align,RMSD_to_family_ref
2QH6 , Estrogen_Receptor , 211 , 0.552
1XQC , Estrogen_Receptor , 191 , 0.561
1U3Q , Estrogen_Receptor , 198 , 0.698
2I0G , Estrogen_Receptor , 191 , 0.820
1U3S , Estrogen_Receptor , 185 , 0.822
2Z4B , Estrogen_Receptor , 191 , 0.828
2JJ3 , Estrogen_Receptor , 191 , 0.831
2GIU , Estrogen_Receptor , 183 , 0.852
1U9E , Estrogen_Receptor , 191 , 0.861
1X7J , Estrogen_Receptor , 187 , 0.866
1ZAF , Estrogen_Receptor , 192 , 0.881
1YY4 , Estrogen_Receptor , 194 , 0.882
1X78 , Estrogen_Receptor , 192 , 0.888
1X76 , Estrogen_Receptor , 195 , 0.889
2NV7 , Estrogen_Receptor , 188 , 0.897
1YYE , Estrogen_Receptor , 189 , 0.913
1X7B , Estrogen_Receptor , 195 , 0.919
1L2J , Estrogen_Receptor , 184 , 0.985
2FSZ , Estrogen_Receptor , 188 , 0.771
2EWP , Estrogen_Receptor , 177 , 1.032
2P7Z , Estrogen_Receptor , 153 , 0.804
2P7G , Estrogen_Receptor , 155 , 0.775
2ZAS , Estrogen_Receptor , 158 , 0.823
2P7A , Estrogen_Receptor , 156 , 0.804
1A4G , Neuraminidase , 390 , 0.000
1NSD , Neuraminidase , 390 , 0.199
1A4Q , Neuraminidase , 390 , 0.272
1VCJ , Neuraminidase , 386 , 0.288
1INF , Neuraminidase , 387 , 0.287
1B9T , Neuraminidase , 387 , 0.304
1B9S , Neuraminidase , 387 , 0.313
1IVB , Neuraminidase , 386 , 0.356
3CKZ , Neuraminidase , 263 , 0.848
1INW , Neuraminidase , 259 , 0.842
3CL0 , Neuraminidase , 263 , 0.845
1IVF , Neuraminidase , 259 , 0.854
2HU0 , Neuraminidase , 257 , 0.867
2BAT , Neuraminidase , 259 , 0.855
2HU4 , Neuraminidase , 261 , 0.879
2HTU , Neuraminidase , 256 , 0.936
2HT8 , Neuraminidase , 254 , 0.932
2HTR , Neuraminidase , 254 , 0.913
2QWI , Neuraminidase , 253 , 0.934
1XOG , Neuraminidase , 248 , 0.907
2HTW , Neuraminidase , 260 , 0.918
1NNB , Neuraminidase , 251 , 0.920
1NNC , Neuraminidase , 252 , 0.919
2QWF , Neuraminidase , 253 , 0.930
1F8B , Neuraminidase , 254 , 0.938
2HT7 , Neuraminidase , 252 , 0.926
2HTQ , Neuraminidase , 253 , 0.948
1F8D , Neuraminidase , 253 , 0.932
1BJI , Neuraminidase , 252 , 0.927
1F8E , Neuraminidase , 252 , 0.923
1L7G , Neuraminidase , 251 , 0.915
1MWE , Neuraminidase , 254 , 0.937
1XOE , Neuraminidase , 250 , 0.922
2QWC , Neuraminidase , 253 , 0.930
2QWG , Neuraminidase , 252 , 0.924
2QWD , Neuraminidase , 253 , 0.931
2QWJ , Neuraminidase , 251 , 0.919
1L7F , Neuraminidase , 252 , 0.920
1F8C , Neuraminidase , 254 , 0.933
2QWH , Neuraminidase , 253 , 0.929
2QWE , Neuraminidase , 253 , 0.930
2QWK , Neuraminidase , 253 , 0.936
1L7H , Neuraminidase , 251 , 0.917
1B9V , Neuraminidase , 387 , 0.294
1A8K , HIV_Protease , 198 , 0.000
1MTR , HIV_Protease , 198 , 0.370
1CPI , HIV_Protease , 198 , 0.417
1ODW , HIV_Protease , 196 , 0.436
1OHR , HIV_Protease , 197 , 0.447
1HIV , HIV_Protease , 196 , 0.455
1T3R , HIV_Protease , 198 , 0.496
1A8G , HIV_Protease , 197 , 0.502
1FQX , HIV_Protease , 198 , 0.509
1HXB , HIV_Protease , 197 , 0.517
1KZK , HIV_Protease , 198 , 0.522
8HVP , HIV_Protease , 197 , 0.523
2HS2 , HIV_Protease , 189 , 0.526
1PRO , HIV_Protease , 197 , 0.530
1HVR , HIV_Protease , 198 , 0.533
2FDE , HIV_Protease , 197 , 0.543
1HPV , HIV_Protease , 197 , 0.555
9HVP , HIV_Protease , 197 , 0.570
1FG8 , HIV_Protease , 197 , 0.571
1HXW , HIV_Protease , 197 , 0.571
1A9M , HIV_Protease , 198 , 0.578
1MET , HIV_Protease , 198 , 0.578
1HPS , HIV_Protease , 197 , 0.579
1DMP , HIV_Protease , 195 , 0.584
1BDR , HIV_Protease , 194 , 0.587
1QBS , HIV_Protease , 198 , 0.593
1HWR , HIV_Protease , 197 , 0.598
1MER , HIV_Protease , 198 , 0.609
1EBK , HIV_Protease , 190 , 0.610
1HSG , HIV_Protease , 198 , 0.614
1FEJ , HIV_Protease , 196 , 0.616
1FFF , HIV_Protease , 197 , 0.616
4PHV , HIV_Protease , 198 , 0.622
1MES , HIV_Protease , 198 , 0.623
1D4Y , HIV_Protease , 198 , 0.630
1HPX , HIV_Protease , 198 , 0.635
1AAQ , HIV_Protease , 197 , 0.646
1FGC , HIV_Protease , 198 , 0.648
1BDQ , HIV_Protease , 195 , 0.659
1SDT , HIV_Protease , 197 , 0.660
2F81 , HIV_Protease , 198 , 0.669
1HVH , HIV_Protease , 196 , 0.680
1A30 , HIV_Protease , 198 , 0.685
2F80 , HIV_Protease , 198 , 0.696
1AJV , HIV_Protease , 198 , 0.698
2IDW , HIV_Protease , 197 , 0.698
2IEN , HIV_Protease , 198 , 0.700
1IDA , HIV_Protease , 188 , 0.703
1G35 , HIV_Protease , 198 , 0.716
5HVP , HIV_Protease , 198 , 0.720
2IEO , HIV_Protease , 198 , 0.722
1IDB , HIV_Protease , 190 , 0.726
1FFI , HIV_Protease , 196 , 0.730
1JLD , HIV_Protease , 191 , 0.730
2FDD , HIV_Protease , 192 , 0.742
1IVP , HIV_Protease , 190 , 0.757
7UPJ , HIV_Protease , 197 , 0.773
1HSH , HIV_Protease , 189 , 0.787
1FG6 , HIV_Protease , 198 , 0.791
1AID , HIV_Protease , 180 , 0.795
2HPE , HIV_Protease , 191 , 0.810
4UPJ , HIV_Protease , 192 , 0.816
1IVQ , HIV_Protease , 190 , 0.819
2HPF , HIV_Protease , 192 , 0.901
3UPJ , HIV_Protease , 188 , 0.917
1XL2 , HIV_Protease , 191 , 0.529
1PPC , Trypsin , 223 , 0.000
1C1R , Trypsin , 223 , 0.337
1C5P , Trypsin , 223 , 0.283
1C5Q , Trypsin , 223 , 0.143
1C5S , Trypsin , 223 , 0.285
1C5T , Trypsin , 223 , 0.298
1CE5 , Trypsin , 223 , 0.132
1EB2 , Trypsin , 223 , 0.237
1F0T , Trypsin , 223 , 0.131
1F0U , Trypsin , 223 , 0.128
1G36 , Trypsin , 223 , 0.125
1K1I , Trypsin , 223 , 0.265
1K1J , Trypsin , 223 , 0.183
1K1L , Trypsin , 223 , 0.177
1K1M , Trypsin , 223 , 0.153
1LQE , Trypsin , 223 , 0.133
1PPH , Trypsin , 223 , 0.113
1QB1 , Trypsin , 223 , 0.124
1QB6 , Trypsin , 223 , 0.314
1QB9 , Trypsin , 223 , 0.328
1QBN , Trypsin , 223 , 0.325
1QL7 , Trypsin , 223 , 0.424
1TNG , Trypsin , 223 , 0.263
1TNH , Trypsin , 223 , 0.253
1TNI , Trypsin , 223 , 0.271
1TNJ , Trypsin , 223 , 0.269
1TNK , Trypsin , 223 , 0.265
1TNL , Trypsin , 223 , 0.265
1TPS , Trypsin , 223 , 0.136
1UTN , Trypsin , 223 , 0.283
1UTO , Trypsin , 223 , 0.316
1UTP , Trypsin , 222 , 0.324
1V2J , Trypsin , 219 , 0.226
1V2K , Trypsin , 221 , 0.285
1V2L , Trypsin , 220 , 0.390
1V2M , Trypsin , 219 , 0.359
1V2N , Trypsin , 219 , 0.368
1V2O , Trypsin , 219 , 0.375
1V2Q , Trypsin , 219 , 0.379
1V2R , Trypsin , 221 , 0.335
1V2S , Trypsin , 218 , 0.398
1V2T , Trypsin , 219 , 0.387
1V2U , Trypsin , 215 , 0.340
1V2V , Trypsin , 221 , 0.191
1V2W , Trypsin , 219 , 0.320
2BZA , Trypsin , 223 , 0.125
1A28 ,-,-
1A5S ,-,-
1A7A ,-,-
1A8I ,-,-
1A9U ,-,-
1ABE ,-,-
1ABF ,-,-
1ACM ,-,-
1AGM ,-,-
1AGW ,-,-
1AI5 ,-,-
1B8O ,-,-
1BAP ,-,-
1BIR ,-,-
1BL7 ,-,-
1BR5 ,-,-
1BYG ,-,-
1C2T ,-,-
1C5C ,-,-
1C8K ,-,-
1C8V ,-,-
1C9D ,-,-
1CET ,-,-
1COM ,-,-
1CTT ,-,-
1CW2 ,-,-
1CX9 ,-,-
1D09 ,-,-
1D6S ,-,-
1DBB ,-,-
1DBJ ,-,-
1DBT ,-,-
1DJX ,-,-
1DQX ,-,-
1DUV ,-,-
1DVJ ,-,-
1DY4 ,-,-
1E6Q ,-,-
1E6S ,-,-
1E72 ,-,-
1EBG ,-,-
1EC9 ,-,-
1ECQ ,-,-
1EEF ,-,-
1EFI ,-,-
1EFY ,-,-
1EHL ,-,-
1EIX ,-,-
1EJN ,-,-
1ELB ,-,-
1ELC ,-,-
1EUS ,-,-
1F3D ,-,-
1F9H ,-,-
1FD7 ,-,-
1FGI ,-,-
1FH7 ,-,-
1FH8 ,-,-
1FH9 ,-,-
1FHD ,-,-
1FKI ,-,-
1FO2 ,-,-
1FO3 ,-,-
1G9V ,-,-
1GAH ,-,-
1GAI ,-,-
1GM7 ,-,-
1GM8 ,-,-
1GM9 ,-,-
1H1D ,-,-
1H46 ,-,-
1HAK ,-,-
1HEX ,-,-
1HFC ,-,-
1HI4 ,-,-
1HN4 ,-,-
1HNN ,-,-
1HOR ,-,-
1HP0 ,-,-
1HQ2 ,-,-
1HSL ,-,-
1HVQ ,-,-
1HWW ,-,-
1IA1 ,-,-
1IA2 ,-,-
1IA3 ,-,-
1IA4 ,-,-
1IG3 ,-,-
1IK4 ,-,-
1ITV ,-,-
1J01 ,-,-
1J3I ,-,-
1J3J ,-,-
1J3K ,-,-
1J4H ,-,-
1J8V ,-,-
1JJE ,-,-
1JJT ,-,-
1JKX ,-,-
1JU9 ,-,-
1JYS ,-,-
1K3U ,-,-
1K7E ,-,-
1KIM ,-,-
1KPM ,-,-
1KQU ,-,-
1KQY ,-,-
1KQZ ,-,-
1KR0 ,-,-
1KR1 ,-,-
1KV2 ,-,-
1KVO ,-,-
1L2S ,-,-
1LAH ,-,-
1LAN ,-,-
1LF9 ,-,-
1LI4 ,-,-
1LLO ,-,-
1LOQ ,-,-
1LOR ,-,-
1LOS ,-,-
1LRH ,-,-
1LRU ,-,-
1LST ,-,-
1M2Z ,-,-
1MAI ,-,-
1ME7 ,-,-
1MEH ,-,-
1MEI ,-,-
1MLD ,-,-
1MMV ,-,-
1MMW ,-,-
1MRG ,-,-
1MRK ,-,-
1MUP ,-,-
1MV9 ,-,-
1MVC ,-,-
1MZ6 ,-,-
1MZC ,-,-
1N1M ,-,-
1N1T ,-,-
1N1V ,-,-
1N1Y ,-,-
1N2J ,-,-
1N2V ,-,-
1N46 ,-,-
1NAV ,-,-
1NC1 ,-,-
1NC3 ,-,-
1NGP ,-,-
1NJJ ,-,-
1NJS ,-,-
1NLI ,-,-
1NW5 ,-,-
1NW7 ,-,-
1O86 ,-,-
1OF1 ,-,-
1OF6 ,-,-
1OIF ,-,-
1OIM ,-,-
1OTH ,-,-
1OWE ,-,-
1OYF ,-,-
1OZ0 ,-,-
1P2Y ,-,-
1P44 ,-,-
1P62 ,-,-
1P9P ,-,-
1PA9 ,-,-
1PGP ,-,-
1PL8 ,-,-
1PMN ,-,-
1PS3 ,-,-
1Q1G ,-,-
1Q3D ,-,-
1Q3W ,-,-
1Q41 ,-,-
1Q4L ,-,-
1Q4X ,-,-
1Q95 ,-,-
1QAN ,-,-
1QCA ,-,-
1QCF ,-,-
1QIN ,-,-
1QPE ,-,-
1QPQ ,-,-
1QW6 ,-,-
1R1H ,-,-
1R33 ,-,-
1R55 ,-,-
1R58 ,-,-
1R9O ,-,-
1RBM ,-,-
1RBO ,-,-
1RBP ,-,-
1RDI ,-,-
1RDJ ,-,-
1RDK ,-,-
1RDL ,-,-
1RDN ,-,-
1RGK ,-,-
1RGL ,-,-
1RNT ,-,-
1S2A ,-,-
1S3V ,-,-
1S5O ,-,-
1SG0 ,-,-
1SNC ,-,-
1SQ5 ,-,-
1SQN ,-,-
1SQT ,-,-
1SR7 ,-,-
1SSQ ,-,-
1SV3 ,-,-
1SV9 ,-,-
1T02 ,-,-
1T40 ,-,-
1T46 ,-,-
1THZ ,-,-
1TKB ,-,-
1TOW ,-,-
1TQT ,-,-
1TT1 ,-,-
1TUF ,-,-
1TXR ,-,-
1TZ8 ,-,-
1U1C ,-,-
1U2Y ,-,-
1U33 ,-,-
1U4D ,-,-
1ULB ,-,-
1UMG ,-,-
1UOU ,-,-
1UR5 ,-,-
1UZ1 ,-,-
1V1J ,-,-
1V2X ,-,-
1V3C ,-,-
1V3D ,-,-
1V3E ,-,-
1V48 ,-,-
1V4S ,-,-
1VJ5 ,-,-
1VR2 ,-,-
1VSO ,-,-
1W1P ,-,-
1W2G ,-,-
1W3J ,-,-
1W3Y ,-,-
1W6F ,-,-
1W7X ,-,-
1W9U ,-,-
1W9V ,-,-
1WB0 ,-,-
1WC0 ,-,-
1WC5 ,-,-
1WM1 ,-,-
1X70 ,-,-
1X8X ,-,-
1XBB ,-,-
1XBC ,-,-
1XD0 ,-,-
1XD1 ,-,-
1XGI ,-,-
1XGJ ,-,-
1XOW ,-,-
1XQ3 ,-,-
1Y0X ,-,-
1Y6B ,-,-
1YDR ,-,-
1YGC ,-,-
1YQY ,-,-
1YV3 ,-,-
1YVF ,-,-
1YWR ,-,-
1YZ0 ,-,-
1Z3C ,-,-
1Z3T ,-,-
1Z3V ,-,-
1Z95 ,-,-
1ZW5 ,-,-
2AA2 ,-,-
2AA5 ,-,-
2AA6 ,-,-
2AA7 ,-,-
2AAD ,-,-
2AAX ,-,-
2AB2 ,-,-
2AK3 ,-,-
2AM9 ,-,-
2AO6 ,-,-
2AZY ,-,-
2AZZ ,-,-
2B00 ,-,-
2B01 ,-,-
2B8T ,-,-
2BM2 ,-,-
2BR1 ,-,-
2BVD ,-,-
2BW7 ,-,-
2CGR ,-,-
2CNK ,-,-
2ETR ,-,-
2F10 ,-,-
2GBP ,-,-
2HV5 ,-,-
2I0E ,-,-
2I78 ,-,-
2ICA ,-,-
2IXU ,-,-
2IXV ,-,-
2OF2 ,-,-
2OI0 ,-,-
2OJG ,-,-
2OWB ,-,-
2OYF ,-,-
2P2I ,-,-
2PCP ,-,-
2PHH ,-,-
2PJL ,-,-
2PK4 ,-,-
2QD9 ,-,-
2QVD ,-,-
2RGU ,-,-
2SIM ,-,-
2SRC ,-,-
2STD ,-,-
2V3F ,-,-
2VT4 ,-,-
2Y00 ,-,-
2Y01 ,-,-
2Y02 ,-,-
2Y03 ,-,-
2Y04 ,-,-
2YPI ,-,-
2ZDT ,-,-
2ZEC ,-,-
3B50 ,-,-
3BGR ,-,-
3BGS ,-,-
3BIR ,-,-
3BIZ ,-,-
3BKL ,-,-
3BQD ,-,-
3BWM ,-,-
3BZ3 ,-,-
3C4F ,-,-
3CHP ,-,-
3CJO ,-,-
3CLA ,-,-
3CQW ,-,-
3D0E ,-,-
3D4Q ,-,-
3D90 ,-,-
3DFR ,-,-
3E37 ,-,-
3EL8 ,-,-
3EML ,-,-
3EQH ,-,-
3ERK ,-,-
3EYG ,-,-
3F07 ,-,-
3F9M ,-,-
3G0E ,-,-
3G6Z ,-,-
3H1X ,-,-
3HAD ,-,-
3HL5 ,-,-
3HMM ,-,-
3HSW ,-,-
3JDW ,-,-
3KBA ,-,-
3KGC ,-,-
3KRJ ,-,-
3L3M ,-,-
3L5D ,-,-
3LAN ,-,-
3LPB ,-,-
3LQ8 ,-,-
3LSY ,-,-
3M2W ,-,-
3MAX ,-,-
3NF7 ,-,-
3NXO ,-,-
3NY8 ,-,-
3ODU ,-,-
3PBL ,-,-
3STD ,-,-
4AAH ,-,-
4CTS ,-,-
4DFR ,-,-
4IAQ ,-,-
4LBD ,-,-
4P6W ,-,-
4S0V ,-,-
4SGA ,-,-
4SLI ,-,-
4STD ,-,-
4TIM ,-,-
4TS1 ,-,-
4TVJ ,-,-
4V2Z ,-,-
4WMZ ,-,-
4XE0 ,-,-
4XIA ,-,-
4XP4 ,-,-
5AMH ,-,-
5BIR ,-,-
5ENL ,-,-
5GAL ,-,-
5ICD ,-,-
5JMY ,-,-
5P21 ,-,-
5SGA ,-,-
5STD ,-,-
5XIA ,-,-
5ZV2 ,-,-
6E8Q ,-,-
6ENL ,-,-
6HLO ,-,-
6NNC ,-,-
6STD ,-,-
6TIM ,-,-
6VNX ,-,-
7EST ,-,-
7JUR ,-,-
7STD ,-,-
7TIM ,-,-
8A3H ,-,-
8ABP ,-,-
8ATC ,-,-
8ICD ,-,-
9AAT ,-,-
9ICD ,-,-
121P ,-,-
