System,Molecular_Weight,DOCK_Rotatable_Bonds,Formal_Charge,HBond_Acceptors,HBond_Donors,Stereocenters,cLogP,TPSA,SA_Score,QED,ESOL,num_of_PAINS,SMILES
1JLD , 661.841 , 29 , 0.003002 , 11 , 6 , 5 , 3.2758 , 169.75 , 4.12189 , 0.138806 , -6.49938 , 0 , CCC(CC)NC(=O)C[C@@H](C(=O)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccc2ccccc2n1)[C@@H](C)O)C(C)(C)C
1JLF , 266.303 , 2 , -0.00300008 , 5 , 1 , 0 , 2.65122 , 58.12 , 2.59443 , 0.862873 , -3.4843 , 0 , Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
1JLG , 335.854 , 7 , -0.00200206 , 5 , 1 , 0 , 5.37402 , 34.4 , 2.56402 , 0.587753 , -5.94799 , 0 , CC(C)=CCOc1cc(NC(=S)c2ccoc2C)ccc1Cl
1JMF , 306.169 , 5 , -1.999 , 10 , 2 , 3 , -4.0399 , 162.73 , 4.40564 , 0.541279 , 1.22504 , 0 , O=c1ccn([C@H]2C[C@H](O)[C@@H](CO[P]([O-])([O-])[O-])O2)c(=O)[nH]1
1JMG , 306.169 , 5 , -1.999 , 10 , 2 , 3 , -4.0399 , 162.73 , 4.40564 , 0.541279 , 1.22504 , 0 , O=c1ccn([C@H]2C[C@H](O)[C@@H](CO[P]([O-])([O-])[O-])O2)c(=O)[nH]1
1JMI , 306.169 , 5 , -1.999 , 10 , 2 , 3 , -4.0399 , 162.73 , 4.40564 , 0.541279 , 1.22504 , 0 , O=c1ccn([C@H]2C[C@H](O)[C@@H](CO[P]([O-])([O-])[O-])O2)c(=O)[nH]1
1JN4 , 635.378 , 14 , -2.001 , 21 , 6 , 7 , -5.9275 , 323.56 , 5.34678 , 0.134943 , 0.479546 , 0 , Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P]([O-])([O-])O[P]([O-])([O-])O[C@H]2C[C@H](n3ccc(=O)[nH]c3=O)O[C@@H]2CO)[C@@H](O)[C@H]1O
1JU9 , 424.18 , 9 , -2.999 , 15 , 4 , 4 , -5.7824 , 253.07 , 4.93864 , 0.381909 , 1.74932 , 0 , Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P]([O-])([O-])O[P]([O-])([O-])[O-])[C@@H](O)[C@H]1O
1JWT , 493.607 , 10 , 1.002 , 12 , 5 , 2 , -1.8863 , 147.88 , 3.86298 , 0.208698 , -1.59628 , 0 , [NH2+]=C(NO)N1CCC(CNC(=O)[C@@H]2CC[C@H]3CN(S(=O)(=O)Cc4ccccc4)CC(=O)N32)CC1
1JYS , 135.128 , 1 , 0.00100004 , 5 , 3 , 0 , -0.0649 , 80.48 , 2.74504 , 0.530003 , -0.627014 , 0 , Nc1ncnc2[nH]cnc12
1K1I , 508.598 , 11 , 0.00399999 , 10 , 5 , 2 , 0.61539 , 158.65 , 3.48954 , 0.407693 , -3.54326 , 0 , N[C](N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC[C@@H]2C(=O)[O-])c1
1K1J , 523.633 , 13 , 1.001 , 10 , 5 , 1 , 1.89599 , 144.82 , 3.00146 , 0.3878 , -4.59217 , 0 , COC(=O)C1CCN(C(=O)[C@H](Cc2cccc([C](N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1
1K1L , 467.592 , 10 , 1.998 , 9 , 7 , 1 , -0.11001 , 135.13 , 3.60439 , 0.385778 , -2.73857 , 0 , N[C](N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CC[NH2+]CC2)c1
1K1M , 508.621 , 11 , 1.002 , 10 , 5 , 1 , 1.17509 , 138.83 , 2.95538 , 0.441205 , -3.96198 , 0 , CC(=O)N1CCN(C(=O)[C@H](Cc2cccc([C](N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1
1K21 , 439.578 , 14 , 1 , 10 , 8 , 2 , -3.8105 , 169.79 , 4.42753 , 0.126511 , 0.204238 , 0 , NC(=[NH2+])NCCCNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](CC1CCCCC1)[NH2+]CC(=O)[O-]
1K22 , 430.527 , 13 , 1.002 , 9 , 7 , 2 , -2.07911 , 158.19 , 4.16199 , 0.354808 , -1.02692 , 0 , N[C](N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H]([NH2+]CC(=O)[O-])C2CCCCC2)cc1
1K3U , 288.26 , 7 , -1.999 , 7 , 2 , 1 , -1.9149 , 125.15 , 3.37619 , 0.643017 , -0.224658 , 0 , O=C([O-])C[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)[O-]
1K7E , 231.231 , 5 , -1 , 5 , 2 , 0 , -0.4235 , 85.02 , 2.43081 , 0.748261 , -0.965293 , 0 , O=C([O-])CNC(=O)Cc1c[nH]c2ccccc12
1KAV , 466.263 , 9 , -3.996 , 10 , 0 , 0 , 0.0376 , 138.36 , 3.35757 , 0.287628 , -2.83361 , 0 , [O-][P]([O-])([O-])C(F)(F)c1ccc(CCCCc2ccc(C(F)(F)[P]([O-])([O-])[O-])cc2)cc1
1KE5 , 329.379 , 6 , -0.00199995 , 7 , 3 , 0 , 1.9998 , 87.3 , 2.17813 , 0.749308 , -3.4052 , 0 , CNS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccccc32)cc1
1KE6 , 400.462 , 7 , -1 , 10 , 3 , 0 , 1.91399 , 112.55 , 3.51504 , 0.568744 , -3.8055 , 1 , CNS(=O)(=O)Cc1ccc(N/N=C2\C(=O)Nc3ccc4n[c]sc4c32)cc1
1KE7 , 393.423 , 4 , 1.49012e-08 , 8 , 2 , 0 , 3.1751 , 101.3 , 3.04009 , 0.667462 , -4.70061 , 0 , O=C1Nc2ccc(-c3cnco3)cc2/C1=C/Nc1ccc2c(c1)CS(=O)(=O)C2
1KE8 , 398.466 , 6 , 0 , 9 , 3 , 0 , 3.349 , 100.19 , 2.37187 , 0.574699 , -4.85661 , 0 , O=C1Nc2ccccc2/C1=C/Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
1KE9 , 358.401 , 6 , 0.999 , 9 , 7 , 0 , -0.5562 , 138.91 , 2.74887 , 0.284207 , -1.69995 , 0 , NC(=[NH2+])NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccccc32)cc1
1KIM , 242.232 , 4 , 1.49012e-08 , 7 , 3 , 3 , -1.51428 , 104.55 , 3.37637 , 0.586549 , -0.235946 , 0 , Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
1KJO , 252.247 , 9 , -1 , 6 , 2 , 2 , -0.5879 , 98.69 , 2.96434 , 0.731429 , -0.977508 , 0 , C[C@@H](O)[C@H](NC(=O)OCc1ccccc1)C(=O)[O-]
1KJP , 279.249 , 9 , -2.001 , 7 , 1 , 1 , -1.4386 , 118.59 , 3.2013 , 0.657944 , -0.515883 , 0 , O=C([O-])CC[C@H](NC(=O)OCc1ccccc1)C(=O)[O-]
1KKK , 265.222 , 8 , -2.001 , 7 , 1 , 1 , -1.8287 , 118.59 , 3.21513 , 0.651156 , -0.138356 , 0 , O=C([O-])C[C@H](NC(=O)OCc1ccccc1)C(=O)[O-]
1KL6 , 222.221 , 7 , -0.999 , 5 , 1 , 1 , 0.0512 , 78.46 , 2.63523 , 0.781419 , -1.25933 , 0 , C[C@H](NC(=O)OCc1ccccc1)C(=O)[O-]
1KPM , 430.714 , 21 , 0.00300097 , 2 , 1 , 3 , 8.84026 , 29.46 , 3.77976 , 0.358644 , -9.11642 , 0 , Cc1c(C)c2c(c(C)c1O)CC[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
1KQU , 394.534 , 15 , -0.999 , 4 , 1 , 1 , 3.8273 , 69.23 , 2.76257 , 0.494885 , -5.15318 , 0 , O=C([O-])CC[C@@H](CCc1ccccc1)NC(=O)CCCCCCc1ccccc1
1KQY , 1033.99 , 35 , -2.32458e-06 , 31 , 17 , 25 , -11.2056 , 471.33 , 6.00116 , 0.0636977 , 1.78958 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O[C@@H]5[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]5O)[C@H](NC(C)=O)[C@H]4O)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1KQZ , 830.794 , 28 , -0.00599676 , 25 , 14 , 20 , -9.1736 , 383.31 , 5.51527 , 0.081208 , 1.61112 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]4O)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1KR0 , 830.794 , 28 , 0.00399816 , 25 , 14 , 20 , -9.1736 , 383.31 , 5.51527 , 0.081208 , 1.61112 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]4O)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1KR1 , 830.794 , 28 , 0.00400031 , 25 , 14 , 20 , -9.1736 , 383.31 , 5.51527 , 0.081208 , 1.61112 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]4O)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1KR6 , 279.249 , 9 , -1.997 , 7 , 1 , 1 , -1.4386 , 118.59 , 3.2013 , 0.657944 , -0.515883 , 0 , O=C([O-])CC[C@@H](NC(=O)OCc1ccccc1)C(=O)[O-]
1KRO , 252.247 , 9 , -1 , 6 , 2 , 2 , -0.5879 , 98.69 , 2.96434 , 0.731429 , -0.977508 , 0 , C[C@H](O)[C@@H](NC(=O)OCc1ccccc1)C(=O)[O-]
1KS7 , 265.222 , 8 , -1.996 , 7 , 1 , 1 , -1.8287 , 118.59 , 3.21513 , 0.651156 , -0.138356 , 0 , O=C([O-])C[C@@H](NC(=O)OCc1ccccc1)C(=O)[O-]
1KSN , 447.514 , 14 , 1.001 , 8 , 5 , 2 , 1.15259 , 127.09 , 4.19002 , 0.243105 , -3.53875 , 0 , COC(=O)[C@H](Cc1cccc(C(N)=[NH2+])c1)[C@@H](C)NC(=O)c1ccc(C2=C[CH][N+](=O)C=C2)cc1
1KTO , 222.221 , 7 , -0.998999 , 5 , 1 , 1 , 0.0512 , 78.46 , 2.63523 , 0.781419 , -1.25933 , 0 , C[C@@H](NC(=O)OCc1ccccc1)C(=O)[O-]
1KTS , 500.58 , 15 , 1.002 , 10 , 5 , 0 , 2.93539 , 141.39 , 2.78202 , 0.287878 , -5.20369 , 0 , CCOC(=O)CCN(C(=O)c1ccc2c(c1)nc(CNc1ccc([C](N)N)cc1)n2C)c1ccccn1
1KTT , 420.515 , 8 , 1.001 , 8 , 5 , 0 , 2.71989 , 116.03 , 2.37264 , 0.445208 , -4.53082 , 0 , Cn1c(Cc2ccc([C](N)N)cc2)nc2cc(NS(=O)(=O)c3ccccc3)ccc21
1KV2 , 527.666 , 14 , -0.000997081 , 8 , 2 , 0 , 5.98642 , 80.65 , 2.51111 , 0.309571 , -7.65547 , 0 , Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
1KVO , 502.697 , 17 , -0.997 , 5 , 1 , 1 , 5.5776 , 69.23 , 2.97904 , 0.205416 , -7.15697 , 0 , O=C([O-])CC[C@@H](CSc1ccc(Cc2ccccc2)cc1)NC(=O)CCCCCCc1ccccc1
1KYE , 488.653 , 14 , 0.999 , 7 , 7 , 1 , 1.5449 , 121.84 , 4.34254 , 0.271678 , -4.09729 , 0 , NC(=[NH2+])c1cccc(C[C@@H](NC(=O)N[C@H]2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)C(=O)NCCc2ccccc2)c1
1KZK , 575.729 , 18 , -0.000999935 , 9 , 4 , 3 , 3.70754 , 118.97 , 3.6036 , 0.311531 , -6.27573 , 0 , Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2C)CSC1(C)C
1L2J , 320.431 , 6 , -0.00200202 , 2 , 2 , 2 , 5.1732 , 40.46 , 3.54088 , 0.786808 , -5.70577 , 0 , CC[C@@H]1Cc2cc(O)ccc2C2=C1c1ccc(O)cc1C[C@H]2CC
1L2S , 316.766 , 4 , -0.998 , 8 , 1 , 0 , 1.5658 , 86.3 , 2.44885 , 0.927756 , -3.00379 , 0 , O=C([O-])c1sccc1S(=O)(=O)Nc1ccc(Cl)cc1
1L7F , 328.412 , 12 , 0.00400325 , 8 , 7 , 5 , -3.2938 , 153.1 , 5.19027 , 0.245366 , 0.537679 , 0 , CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)[O-])C[C@H]1NC(N)=[NH2+]
1L7G , 328.412 , 12 , 0.00300332 , 8 , 7 , 5 , -3.2938 , 153.1 , 5.19027 , 0.245366 , 0.537679 , 0 , CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)[O-])C[C@H]1NC(N)=[NH2+]
1L7H , 328.412 , 12 , 0.00400325 , 8 , 7 , 5 , -3.2938 , 153.1 , 5.19027 , 0.245366 , 0.537679 , 0 , CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)[O-])C[C@H]1NC(N)=[NH2+]
1LAH , 133.171 , 6 , 1.001 , 4 , 6 , 1 , -3.6311 , 95.41 , 6.33616 , 0.413665 , 2.03997 , 0 , [NH3+]CCC[C@H]([NH3+])C(=O)[O-]
1LAN , 134.199 , 8 , 1 , 3 , 5 , 1 , -1.0463 , 68.1 , 4.37395 , 0.423671 , 0.112641 , 0 , CC(C)C[C@H]([NH3+])C(O)O
1LF9 , 646.62 , 23 , 0.999999 , 19 , 15 , 19 , -9.5907 , 325.75 , 6.01147 , 0.108563 , 3.11912 , 0 , C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1[NH2+][C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
1LI4 , 263.256 , 5 , 0.00299993 , 8 , 4 , 3 , -1.1082 , 127.15 , 3.96709 , 0.634461 , -0.673549 , 0 , Nc1ncnc2c1ncn2[C@@H]1C[C@@H](CO)C(=O)[C@H]1O
1LI6 , 81.1173 , 0 , 9.53674e-07 , 1 , 1 , 0 , 1.32312 , 15.79 , 3.24265 , 0.484507 , -1.32766 , 0 , Cc1cc[nH]c1
1LJN , 424.405 , 14 , -1.78814e-07 , 13 , 8 , 10 , -5.1096 , 207.27 , 4.42466 , 0.210659 , 1.24993 , 0 , CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O
1LLO , 623.635 , 21 , 0.998004 , 18 , 10 , 15 , -7.9681 , 263.17 , 5.7528 , 0.119935 , 2.06746 , 0 , CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@@H]3[C@@H](CO)[C@@H]4OC(N(C)C)=[NH+][C@@H]4[C@H]3O)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@H]1O
1LMC , 550.542 , 16 , -1.004 , 19 , 7 , 8 , -5.5516 , 265.61 , 6.27136 , 0.137548 , 0.763262 , 0 , CC(=O)N[C@H]1[C@H](O[C@H]2C[C@@H](C(=O)NCC[S+](=O)(=O)=O)[NH2+][C@@H]2CO)O[C@H](CO)[C@@H](O[S+](=O)(=O)=O)[C@@H]1O
1LMO , 424.405 , 14 , -0.00199813 , 13 , 8 , 10 , -5.1096 , 207.27 , 4.42466 , 0.210659 , 1.24993 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1LMP , 627.6 , 21 , -0.00299931 , 19 , 11 , 15 , -7.1416 , 295.29 , 5.05975 , 0.112639 , 1.4317 , 0 , CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O
1LMQ , 830.794 , 28 , 0.00400287 , 25 , 14 , 20 , -9.1736 , 383.31 , 5.51527 , 0.081208 , 1.61112 , 0 , CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O
1LOQ , 322.168 , 6 , -1.999 , 11 , 3 , 4 , -5.0691 , 182.96 , 4.43831 , 0.468771 , 1.88357 , 0 , O=c1ccn([C@@H]2O[C@H](CO[P]([O-])([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
1LOR , 337.16 , 6 , -3 , 12 , 3 , 4 , -5.9955 , 206.02 , 4.98155 , 0.458265 , 2.47243 , 0 , O=c1cc([O-])n([C@@H]2O[C@H](CO[P]([O-])([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
1LOS , 323.156 , 6 , -2.002 , 12 , 3 , 4 , -5.6741 , 195.85 , 4.68414 , 0.463179 , 2.32575 , 0 , O=c1cnn([C@@H]2O[C@H](CO[P]([O-])([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
1LPG , 547.7 , 12 , 2.003 , 7 , 5 , 0 , 3.8597 , 94.87 , 2.95002 , 0.140816 , -6.19975 , 1 , C[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(OCc4ccccc4)ccc3n2Cc2cccc(C(N)=[NH2+])c2)cc1
1LPK , 427.506 , 12 , 2.002 , 7 , 8 , 0 , -0.0246 , 134.45 , 3.01851 , 0.187463 , -2.53719 , 0 , NC(=[NH2+])c1cccc(COC(=O)c2cc3ccccc3n2Cc2cccc(C(N)=[NH2+])c2)c1
1LPZ , 466.389 , 10 , 1.003 , 7 , 5 , 0 , 3.69922 , 85.64 , 2.70666 , 0.299129 , -5.55968 , 0 , Cc1cccc2c1cc(C(=O)NCc1cc(Cl)cc(Cl)c1)n2Cc1cccc(C(N)=[NH2+])c1
1LQE , 441.576 , 9 , 2.004 , 6 , 5 , 0 , 2.2807 , 85.64 , 2.88029 , 0.233509 , -4.33963 , 1 , C[N+](C)(C)c1ccc(CNC(=O)c2cc3ccccc3n2Cc2cccc(C(N)=[NH2+])c2)cc1
1LRH , 185.202 , 2 , -0.999 , 2 , 0 , 0 , 1.1322 , 40.13 , 2.1494 , 0.703273 , -1.82696 , 0 , O=C([O-])Cc1cccc2ccccc12
1LRU , 385.504 , 19 , -2.11596e-06 , 8 , 4 , 3 , 1.2025 , 118.97 , 3.37899 , 0.242831 , -3.15816 , 0 , CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N1CCC[C@H]1CO)C(C)C
1LST , 147.197 , 7 , 1 , 4 , 6 , 1 , -3.241 , 95.41 , 5.87377 , 0.39959 , 1.66606 , 0 , [NH3+]CCCC[C@H]([NH3+])C(=O)[O-]
1LZB , 627.6 , 21 , 0.0019989 , 19 , 11 , 15 , -7.1416 , 295.29 , 5.05975 , 0.112639 , 1.4317 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1LZC , 830.794 , 28 , -0.00300372 , 25 , 14 , 20 , -9.1736 , 383.31 , 5.51527 , 0.081208 , 1.61112 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]4O)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1LZE , 830.794 , 28 , 4.76837e-07 , 25 , 14 , 20 , -9.1736 , 383.31 , 5.51527 , 0.081208 , 1.61112 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]4O)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1LZG , 408.406 , 13 , -0.00300062 , 12 , 7 , 9 , -4.0804 , 187.04 , 4.52817 , 0.235886 , 0.591886 , 0 , CC(=O)N[C@@H]1[C@@H](O)C[C@@H](CO)O[C@H]1O[C@@H]1[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]1O
1LZY , 424.405 , 14 , -3.57628e-07 , 13 , 8 , 10 , -5.1096 , 207.27 , 4.42466 , 0.210659 , 1.24993 , 0 , CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O
1M17 , 393.442 , 12 , 0.000997916 , 7 , 1 , 0 , 3.4051 , 74.73 , 2.4783 , 0.423716 , -4.84663 , 0 , C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
1M2Z , 392.467 , 8 , -2.02283e-06 , 6 , 3 , 8 , 1.8957 , 94.83 , 4.63527 , 0.669327 , -3.74883 , 0 , C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
1M52 , 443.356 , 5 , -9.98378e-07 , 8 , 1 , 0 , 5.7678 , 59.81 , 2.51716 , 0.407198 , -6.94983 , 0 , CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1
1MAI , 414.05 , 9 , -6 , 15 , 3 , 6 , -10.4862 , 295.92 , 6.12267 , 0.356866 , 5.30306 , 0 , [O-][P]([O-])([O-])O[C@H]1[C@H](O)[C@@H](O[P]([O-])([O-])[O-])[C@H](O[P]([O-])([O-])[O-])[C@@H](O)[C@H]1O
1ME7 , 319.334 , 10 , -0.997997 , 6 , 1 , 0 , 1.39852 , 95.89 , 3.27481 , 0.63296 , -2.88589 , 0 , COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2
1MEH , 319.334 , 10 , -0.997997 , 6 , 1 , 0 , 1.39852 , 95.89 , 3.27481 , 0.63296 , -2.88589 , 0 , COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2
1MEI , 319.334 , 10 , -0.996997 , 6 , 1 , 0 , 1.39852 , 95.89 , 3.27481 , 0.63296 , -2.88589 , 0 , COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2
1MER , 536.674 , 12 , -5.96046e-08 , 7 , 6 , 4 , 4.2332 , 116.05 , 3.60253 , 0.252592 , -6.411 , 0 , Nc1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1
1MES , 566.697 , 14 , -0.00200036 , 7 , 4 , 4 , 4.0534 , 104.47 , 3.47447 , 0.232665 , -6.4688 , 0 , O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(CO)cc1
1MET , 566.697 , 14 , 0.000999838 , 7 , 4 , 4 , 4.0534 , 104.47 , 3.47447 , 0.232665 , -6.4688 , 0 , O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(CO)cc1
1MLD , 189.102 , 6 , -3 , 7 , 1 , 0 , -5.2526 , 140.62 , 4.70454 , 0.461253 , 2.89072 , 0 , O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
1MMV , 217.291 , 11 , 0.997999 , 6 , 7 , 1 , -4.1687 , 117.42 , 4.8721 , 0.196777 , 1.91162 , 0 , CCCNC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]
1MMW , 199.253 , 10 , -0.00100094 , 5 , 5 , 1 , -1.73003 , 103.65 , 5.35059 , 0.196297 , 0.22223 , 0 , [H]/N=C(/CC=C)NCCC[C@H]([NH3+])C(=O)[O-]
1MQ5 , 537.896 , 9 , 0.000998996 , 10 , 2 , 0 , 5.9603 , 64.68 , 2.36593 , 0.407419 , -7.70882 , 0 , CN1CCN(Cc2csc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cc3)c2Cl)CC1
1MQ6 , 568.867 , 12 , 0.00199917 , 13 , 2 , 0 , 5.4345 , 105.15 , 3.1774 , 0.396196 , -7.51954 , 0 , COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCO2)c1Cl
1MRG , 149.155 , 1 , 0.000999004 , 5 , 2 , 0 , -0.0545 , 69.62 , 2.41123 , 0.569904 , -0.723625 , 0 , Cn1cnc2c(N)ncnc21
1MRK , 267.244 , 6 , -8.9407e-08 , 9 , 6 , 4 , -1.9109 , 150.4 , 4.17942 , 0.430931 , -0.104583 , 0 , Nc1ncnc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)n[nH]c12
1MTR , 596.767 , 18 , 0.00199702 , 10 , 5 , 5 , 3.1138 , 138.02 , 5.36895 , 0.303749 , -5.97402 , 0 , CC[C@H](C)[C@@H]1NC(=O)[C@@H](NC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)Cc2ccc(cc2)OCCCNC1=O
1MU6 , 432.405 , 9 , 0.00200013 , 11 , 2 , 0 , 2.00112 , 101.8 , 2.85541 , 0.569282 , -4.06899 , 0 , Cc1cnc(NCC(F)(F)c2ccccn2)c(=O)n1CC(=O)NCc1ncccc1F
1MU8 , 446.432 , 10 , -2.23517e-08 , 11 , 2 , 0 , 2.30954 , 101.8 , 3.00368 , 0.555218 , -4.39008 , 0 , Cc1ccnc(CNC(=O)Cn2c(C)cnc(NCC(F)(F)c3ccccn3)c2=O)c1F
